"cite.key","study_type","contrast_type","sampling","sampling_time","pop_cn","pop_sn","exposure_category","controls","outcome","outcomes","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"barriEffectsGroupSize2012","treatment-control","spatial","FIS",600,"Lesser Rhea","Rhea pennata pennata","lethal interaction","negative control","vigilance","foraging time + vigilance time","hunted","",0.2088,"proportion","time",0.104615008483487,NA,NA,"sd",NA,30,"",1.99588952891935
"barriEffectsGroupSize2012","treatment-control","spatial","FIS",600,"Lesser Rhea","Rhea pennata pennata","lethal interaction","negative control","vigilance","foraging time + vigilance time","control","",0.1494,"proportion","time",0.069,NA,NA,"sd",NA,36,"",2.16521739130435
"barriEffectsGroupSize2012","treatment-control","spatial","FIS",600,"Lesser Rhea","Rhea pennata pennata","lethal interaction","negative control","foraging","foraging time + vigilance time","hunted","",0.5575,"proportion","time",0.283172562230171,NA,NA,"sd",NA,30,"",1.96876418961399
"barriEffectsGroupSize2012","treatment-control","spatial","FIS",600,"Lesser Rhea","Rhea pennata pennata","lethal interaction","negative control","foraging","foraging time + vigilance time","control","",0.6935,"proportion","time",0.3216,NA,NA,"sd",NA,36,"",2.15640547263682
"benevidesFearinducedBehaviouralModifications2019","treatment-control","treatment–control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active interaction","negative control","foraging","foraging time + habitat selection","active disturbance","scuba diver",13.2,"","bites",7.92,NA,NA,"sd",-1,15,"",1.66666666666667
"benevidesFearinducedBehaviouralModifications2019","treatment-control","treatment–control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active interaction","negative control","foraging","foraging time + habitat selection","control","scuba diver",43.53,"","bites",20.97,NA,NA,"sd",-1,15,"",2.0758226037196
"benevidesFearinducedBehaviouralModifications2019","treatment-control","treatment–control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active interaction","negative control","foraging","foraging time + habitat selection","active disturbance","snorkeler",10.87,"","bites",11.03,NA,NA,"sd",-1,15,"",0.985494106980961
"benevidesFearinducedBehaviouralModifications2019","treatment-control","treatment–control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active interaction","negative control","foraging","foraging time + habitat selection","control","snorkeler",31.8,"","bites",20.49,NA,NA,"sd",-1,15,"",1.55197657393851
"benhaiemHuntingIncreasesVigilance2008","treatment-control","temporal","FIS",900,"Roe Deer","Capreolus capreolus","lethal interaction","negative control","vigilance","feeding time + vigilance time","control","",0.2421,"proportion","time",0.1455,NA,NA,"sd",NA,44,"",1.6639175257732
"benhaiemHuntingIncreasesVigilance2008","treatment-control","temporal","FIS",900,"Roe Deer","Capreolus capreolus","lethal interaction","negative control","vigilance","feeding time + vigilance time","treatement","",0.3777,"proportion","time",0.1874,NA,NA,"sd",NA,44,"",2.01547491995731
"bhardwajInducingFearUsing2022","playback","Auditory cues","FIS",40,"Moose","Alces alces","lethal interaction","positive control + negative control","vigilance","flight probability + feeding time + vigilance time","negative control","dog",0.25,"proportion","time",0.107142857142857,0.192,0.069,"sd",NA,257,"",2.33333333333333
"bhardwajInducingFearUsing2022","playback","Auditory cues","FIS",40,"Moose","Alces alces","lethal interaction","positive control + negative control","vigilance","flight probability + feeding time + vigilance time","negative control","human",0.25,"proportion","time",0.107142857142857,0.192,0.069,"sd",NA,257,"",2.33333333333333
"bhardwajInducingFearUsing2022","playback","Auditory cues","FIS",40,"Moose","Alces alces","lethal interaction","positive control + negative control","vigilance","flight probability + feeding time + vigilance time","natural predator","dog",0.638,"proportion","time",0.160459183673469,0.741,0.375,"sd",NA,138,"",3.97608903020668
"bhardwajInducingFearUsing2022","playback","Auditory cues","FIS",40,"Moose","Alces alces","lethal interaction","positive control + negative control","vigilance","flight probability + feeding time + vigilance time","active disturbance","human",0.455,"proportion","time",0.0818877551020408,0.546,0.34,"sd",NA,137,"",5.55638629283489
"bhardwajInducingFearUsing2022","playback","Auditory cues","FIS",40,"Moose","Alces alces","lethal interaction","positive control + negative control","foraging","flight probability + feeding time + vigilance time","negative control","dog",0.48,"proportion","time",0.130612244897959,0.598,0.283,"sd",NA,257,"",3.675
"bhardwajInducingFearUsing2022","playback","Auditory cues","FIS",40,"Moose","Alces alces","lethal interaction","positive control + negative control","foraging","flight probability + feeding time + vigilance time","negative control","human",0.48,"proportion","time",0.130612244897959,0.598,0.283,"sd",NA,257,"",3.675
